Jammu & Kashmir,Chandigarh,Jharkhand,Odisha,Chhattisgarh,Kerala,Karnataka,Assam,Gujarat,Bihar,A & N Islands,Uttarakhand,Manipur,Madhya Pradesh,Meghalaya,Himachal Pradesh,Tripura,Dadra & Nagar Haveli,Puducherry,Delhi,Punjab,Nagaland,Sikkim,Andhra Pradesh,West Bengal,Haryana,Tamil Nadu,Daman & Diu,Maharashtra,Rajasthan,Arunachal Pradesh,Uttar Pradesh,Telangana,Goa,Lakshadweep,Mizoram
,,,,,,,22.3382538541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19.5309048308333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1129164583333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0931968541667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3957037916667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5057859583333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4265811579167,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0860466666667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2435413333333,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2839635208333,,,,,,
,,,,,,,,,,,,,21.9506879166667,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17.2941596375000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17.5039178125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,25.0190392500000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,24.4976564166667,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,19.4052826041667,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24.0426629827083,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18.4921689583333,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,17.0811787500000,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23.1767013541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5416037500000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8474234791667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0890535645833,,,,
,,,,,,,,,,,,17.5070225000000,,,,,,,,,,,,,,,,,,,,,,,
,25.9656545708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.8910245662500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,38.3070731250000,,,,,,,,,
,,,,,,,,,,,,,23.2725442291667,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,26.0211233333333,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20.2868695541667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21.2119629166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28.9314217083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18.0708241250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,26.1029319791667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5305844581250,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0302720104167,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,35.6741886270833,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.9898970208333,,,,,,,,,,,,
,,,,,,,,,,,,23.1768431875000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7856623395833,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26.6110918750000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26.7802982056250,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.7246862847917,,,,,,,,,,,,
