Large (More than 300 beds),Mid-sized (Between 200 and 300 beds),Small (Less than 200 beds)
,25.89000717,23.65041825
,25.90539095,23.67891133
,25.91470865,23.72122063
,25.96941927,23.78999301
,25.98989702,23.83559011
,26.00346354,23.88113121
,26.00929544,23.92038752
,26.02334583,23.94048583
,26.0943071,23.97803523
,26.54196915,23.97934
,26.65528797,23.97936889
,26.69783155,23.99724658
,26.78844893,24.00899886
,26.83552433,24.03598711
,27.0377522,24.04773244
,27.05426965,24.07413285
,27.44908932,24.08747591
,27.68015796,24.09611304
,27.78566234,24.11914525
,27.90036726,24.13505447
,27.93618598,24.19681186
,27.9851129,24.21471763
,28.18170396,24.25528858
,28.47258498,24.281158
,28.68640122,24.28635
,29.02136032,24.28880873
,29.11769241,24.30118814
,29.49437394,24.36916933
,29.62709074,24.38882492
,31.17213867,24.3970343
,31.81702571,24.45075167
,31.8203283,24.49887325
,31.95755113,24.51818883
,,24.52303879
,,24.53083363
,,24.56074023
,,24.62883206
,,24.67140693
,,24.72651183
,,24.77539999
,,24.80830292
,,24.82560359
,,24.82920343
,,24.85264438
,,24.85555958
,,24.86756137
,,24.91335889
,,24.91584716
,,24.95023148
,,24.95580369
,,24.98180843
,,24.98393483
,,24.98971794
,,24.99459089
,,25.00040573
,,25.01903925
,,25.04633727
,,25.09615368
,,25.22785646
,,25.33986879
,,25.43942919
,,25.44531756
,,25.47772102
,,25.48189073
,,25.53224427
,,25.53936854
,,25.58815494
,,25.62894104
,,25.71627627
,,25.81065448
,,25.82045942
,,25.85007422
,,25.95321379
,,26.00478716
,,26.10367146
,,26.16429872
,,26.17583692
,,26.29513448
,,26.37695813
,,26.38776873
,,26.53613188
,,26.55285279
,,26.65436083
,,26.77999815
,,26.82788375
,,26.89098043
,,26.98819123
,,27.03086646
,,27.05275587
,,27.09998163
,,27.16995876
,,27.22389473
,,27.52403689
,,27.5536364
,,27.74289036
,,28.10518186
,,28.33041841
,,28.38154165
,,28.53235313
,,28.69867302
,,28.97654604
,,29.34009154
,,29.39570379
,,29.54604518
,,29.55965167
,,29.62146331
,,30.3596402
,,30.46370925
,,30.91386542
,,32.69318097
,,32.89105144
