Non-High Focus States - Large,Non-High Focus States - Small & UT,High Focus States - Non-NE,High Focus States - Northeast
26.96601079,,21.65445699,
26.98819123,,21.67988658,
27.00099446,,21.71224367,
27.02174767,,21.76144619,
27.02332235,,21.79165326,
27.0377522,,21.82091844,
27.05426965,,21.87424306,
27.05550247,,21.88796243,
27.08462981,,21.90585231,
27.09041899,,21.90919583,
27.14935456,,21.93650792,
27.35619335,,21.95068792,
27.44908932,,21.97812419,
27.56498384,,21.98589955,
27.61448733,,21.98907964,
27.68015796,,22.01880561,
27.68583763,,22.02471717,
27.90036726,,22.05372646,
27.90687889,,22.05514954,
27.9851129,,22.06710195,
28.02776967,,22.07118385,
28.07611146,,22.08719784,
28.10518186,,22.11512583,
28.19622283,,22.13822751,
28.28937471,,22.19269854,
28.37772398,,22.24322071,
28.57264467,,22.24770065,
28.93142171,,22.25213354,
29.24615483,,22.28976373,
29.49083926,,22.29706717,
29.55965167,,22.31202088,
29.62709074,,22.3339395,
29.74872708,,22.34786306,
30.11149333,,22.42352402,
30.3596402,,22.42938104,
30.46370925,,22.43187083,
30.79533723,,22.43589942,
30.89139239,,22.4776316,
31.14306033,,22.51136923,
31.37960165,,22.55306215,
31.81702571,,22.55693613,
31.95755113,,22.6143025,
32.69318097,,22.62624229,
33.11781375,,22.6276451,
33.4920499,,22.66173578,
34.57931739,,22.6764812,
34.89403423,,22.68461627,
35.67418863,,22.69951027,
35.78853367,,22.7255109,
37.3451579,,22.74303667,
38.30707313,,22.77391919,
,,22.80769008,
,,22.85686352,
,,22.85841045,
,,22.86384381,
,,22.86682131,
,,22.88338252,
,,22.89204792,
,,22.98804587,
,,23.01436705,
,,23.02230665,
,,23.02328219,
,,23.03435952,
,,23.04716591,
,,23.07228597,
,,23.08830742,
,,23.09126813,
,,23.09172906,
,,23.10396143,
,,23.10552083,
,,23.11291646,
,,23.12685917,
,,23.12803002,
,,23.13922465,
,,23.14701412,
,,23.14973231,
,,23.17981517,
,,23.18170188,
,,23.18819482,
,,23.20176042,
,,23.22157486,
,,23.24667279,
,,23.25090777,
,,23.2556318,
,,23.25801317,
,,23.27254423,
,,23.32056589,
,,23.34407271,
,,23.37530211,
,,23.38987604,
,,23.39587858,
,,23.43502931,
,,23.44398896,
,,23.44404877,
,,23.45976094,
,,23.46544113,
,,23.47891494,
,,23.47906583,
,,23.48003644,
,,23.49300729,
,,23.49972563,
,,23.52051395,
,,23.54160375,
