Rajasthan,Himachal Pradesh,Madhya Pradesh,Odisha,Jammu & Kashmir,Chhattisgarh,Bihar,Uttar Pradesh,Jharkhand,Uttarakhand
,23.17981517,,,,,,,,
,,23.75716742,,,,,,,
,,,,,,,27.52403689,,
,,,,,,,23.25090777,,
,,20.75552421,,,,,,,
27.00740273,,,,,,,,,
,,,,,,,,18.08434781,
,,18.98814553,,,,,,,
,31.17213867,,,,,,,,
23.18819482,,,,,,,,,
,,,,,,22.06710195,,,
,,,,,,,23.34407271,,
,,,,,,,16.02210285,,
,,,,,,19.79951073,,,
,23.39587858,,,,,,,,
,,,,,,,15.99112548,,
,,,,,19.77620269,,,,
,,,,,,,22.28976373,,
,,,,,,,14.8707029,,
,,,19.34371115,,,,,,
,,,,,,21.6445263,,,
,,,,,,,,,20.27051485
,,24.98971794,,,,,,,
27.74289036,,,,,,,,,
,,,,,,,,,23.22157486
,,24.87563888,,,,,,,
,,21.21973631,,,,,,,
,23.08830742,,,,,,,,
,,,,,,,21.90919583,,
,,,,,,,18.51398379,,
,,,,,,,,,17.55139703
,,,,,,,,,15.99951521
,,,,,,24.28880873,,,
,,,,,,,24.65423375,,
,,,,,,,22.88338252,,
,,,,,,,22.07118385,,
,,,,,,,15.37052673,,
,,22.6276451,,,,,,,
,,,,,,24.15633938,,,
